Invoice ID,Status,Expected Total,Extracted Total,Difference
66489,Missing,£75.00,£0.00,£-75.00
66488,Missing,£75.00,£0.00,£-75.00
66547,Missing,£118.20,£0.00,£-118.20
66583,Missing,£118.20,£0.00,£-118.20
66582,Missing,£188.40,£0.00,£-188.40
66581,Missing,£139.20,£0.00,£-139.20
66580,Missing,£196.20,£0.00,£-196.20
66579,Missing,£131.40,£0.00,£-131.40
66578,Missing,£173.40,£0.00,£-173.40
66577,Missing,£138.60,£0.00,£-138.60
66576,Missing,£75.00,£0.00,£-75.00
66575,Missing,£57.00,£0.00,£-57.00
66574,Missing,£118.20,£0.00,£-118.20
66573,Missing,£197.40,£0.00,£-197.40
66572,Missing,£96.00,£0.00,£-96.00
66609,Missing,£139.80,£0.00,£-139.80
66608,Missing,£222.60,£0.00,£-222.60
66688,Missing,£196.80,£0.00,£-196.80
66687,Missing,£118.20,£0.00,£-118.20
66686,Missing,£142.20,£0.00,£-142.20
66685,Missing,£369.00,£0.00,£-369.00
66684,Missing,£57.00,£0.00,£-57.00
66683,Missing,£579.00,£0.00,£-579.00
66709,Missing,£1349.40,£0.00,£-1349.40
66708,Missing,£167.40,£0.00,£-167.40
66731,Missing,£513.00,£0.00,£-513.00
66730,Missing,£141.00,£0.00,£-141.00
66842,Missing,£135.00,£0.00,£-135.00
66843,Missing,£139.80,£0.00,£-139.80
66844,Missing,£148.80,£0.00,£-148.80
66845,Missing,£208.20,£0.00,£-208.20
66846,Missing,£357.00,£0.00,£-357.00
66847,Missing,£139.80,£0.00,£-139.80
66848,Missing,£118.20,£0.00,£-118.20
66849,Missing,£113.40,£0.00,£-113.40
66850,Missing,£118.20,£0.00,£-118.20
66851,Missing,£139.80,£0.00,£-139.80
66994,Missing,£204.00,£0.00,£-204.00
66993,Missing,£165.00,£0.00,£-165.00
66992,Missing,£192.00,£0.00,£-192.00
66991,Missing,£209.40,£0.00,£-209.40
66990,Missing,£118.20,£0.00,£-118.20
66989,Missing,£194.40,£0.00,£-194.40
66988,Missing,£75.00,£0.00,£-75.00
66987,Missing,£333.00,£0.00,£-333.00
66986,Missing,£142.20,£0.00,£-142.20
66985,Missing,£139.80,£0.00,£-139.80
66984,Missing,£272.40,£0.00,£-272.40
66983,Missing,£190.80,£0.00,£-190.80
66982,Missing,£207.00,£0.00,£-207.00
66996,Missing,£339.00,£0.00,£-339.00
66995,Missing,£208.20,£0.00,£-208.20
67076,Missing,£99.00,£0.00,£-99.00
66481,Extra,£0.00,£57.00,£57.00
SUMMARY,Totals,£10600.20,£57.00,£-10543.20
