Date,,Expected Invoice ID,,,,Details,,,,,Expected Total Amount,Credit
05/03/2025,,66489,,,,205/60 R16 PUNCTURE REPAIR,,,,,£75.00,75
05/03/2025,,66488,,,,215/65 R16 PUNCTURE REPAIR,,,,,£75.00,150
06/03/2025,,66547,,,,195/65 R15 DYNAMO TYRE,,,,,£118.20,268.2
10/03/2025,,66583,,,,195/65 R15 DYNAMO MH01 TYRE,,,,,£118.20,386.4
08/03/2025,,66582,,,,205/60 R16 CHURCHILL RCB008 TYRE,,,,,£188.40,574.8
08/03/2025,,66581,,,,235/65 R16 SUNNY NL06 TYRE,,,,,£139.20,714
07/03/2025,,66580,,,,235/65 R16 SUNNY NL06 TYRE,,,,,£196.20,910.2
07/03/2025,,66579,,,,205/60 R16 CHURCHILL 008 TYRE,,,,,£131.40,1041.6
06/03/2025,,66578,,,,195/60 R15 BRIDGESTONE T005 TYRE,,,,,£173.40,1215
05/03/2025,,66577,,,,215/60 R16 HIFLY SUPER 2000 TYRE,,,,,£138.60,1353.6
04/03/2025,,66576,,,,195/65 R15 PUNCTURE REPAIR,,,,,£75.00,1428.6
04/03/2025,,66575,,,,ABANDONED DAY CALL OUT,,,,,£57.00,1485.6
05/03/2025,,66574,,,,195/65 R16 DYNAMO MH01 TYRE,,,,,£118.20,1603.8
03/03/2025,,66573,,,,215/75 R16 GREENLANDER L-STRONG TYRE,,,,,£197.40,1801.2
01/03/2025,,66572,,,,225/65 R16 TRIANGLE TV701 TYRE,,,,,£96.00,1897.2
11/03/2025,,66609,,,,215/65 R16 HIFLY TYRE,,,,,£139.80,2037
11/03/2025,,66608,,,,215/65 R16 HIFLY TYRE,,,,,£222.60,2259.6
18/03/2025,,66688,,,,215/75 R16 GRENLANDER TYRE,,,,,£196.80,2456.4
14/03/2025,,66687,,,,195/65 R15 DYNAMO TYRE,,,,,£118.20,2574.6
14/03/2025,,66686,,,,215/65 R16 HIFLY SUPER2000 TYRE,,,,,£142.20,2716.8
07/03/2025,,66685,,,,195/60 R16 TRIANGLE CONNEX VAN TYRE,,,,,£369.00,3085.8
05/03/2025,,66684,,,,CALL OUT DAY RATE (ABANDONED),,,,,£57.00,3142.8
05/03/2025,,66683,,,,235/65 R16 MICHELIN AGILIS TYRE,,,,,£579.00,3721.8
18/03/2025,,66709,,,,245 70 195 DUNLOP SP446 TYRE,,,,,"£1,349.40",5071.2
17/03/2025,,66708,,,,215/70 R15 MATADOR HECTV TYRE,,,,,£167.40,5238.6
11/03/2025,,66731,,,,245/45 R20 BRIDGESTONE ALENZA 001 TYRE,,,,,£513.00,5751.6
20/03/2025,,66730,,,,215/60 R16 ROADCRUZA RA350 TYRE,,,,,£141.00,5892.6
20/03/2025,,66842,,,,195/60 R16 ADMIRAL TYRE,,,,,£135.00,6027.6
20/03/2025,,66843,,,,215/65 R16 ZEETEK TYRE,,,,,£139.80,6167.4
21/03/2025,,66844,,,,205/60 R16 CHURCHILL TYRE,,,,,£148.80,6316.2
21/03/2025,,66845,,,,195/75 R16 ZEETEK TYRE,,,,,£208.20,6524.4
21/03/2025,,66846,,,,215/65 R16 MICHELIN CROSS CLIMATE TYRE,,,,,£357.00,6881.4
24/03/2025,,66847,,,,215/65 R16 ZETEX TYRE,,,,,£139.80,7021.2
24/03/2025,,66848,,,,195/65 R15 DYNAMO TYRE,,,,,£118.20,7139.4
25/03/2025,,66849,,,,175/70 R14 APLUS TYRE,,,,,£113.40,7252.8
25/03/2025,,66850,,,,195/65 R15 DYNAMO TYRE,,,,,£118.20,7371
27/03/2025,,66851,,,,215/65 R16 ZEETEK TYRE,,,,,£139.80,7510.8
31/03/2025,,66994,,,,205/75 R16 LEAO TYRE,,,,,£204.00,7714.8
31/03/2025,,66993,,,,215/70 R15 MATADOR HECTV TYRE,,,,,£165.00,7879.8
29/03/2025,,66992,,,,195/60 R16 ADMIRAL TYRE,,,,,£192.00,8071.8
29/03/2025,,66991,,,,225/55 R17 MATADOR HECTV TYRE,,,,,£209.40,8281.2
28/03/2025,,66990,,,,195/65 R15 DYNAMO TYRE,,,,,£118.20,8399.4
27/03/2025,,66989,,,,215/75 R16 MATADOR HECTV TYRE,,,,,£194.40,8593.8
27/03/2025,,66988,,,,PUNCTURE REPAIR,,,,,£75.00,8668.8
27/03/2025,,66987,,,,215/60 R17 MATADOR TYRE,,,,,£333.00,9001.8
27/03/2025,,66986,,,,215/65 R16 ZEETEK CT6000 TYRE,,,,,£142.20,9144
27/03/2025,,66985,,,,215/65 R16 ZEETEX ECO TYRE,,,,,£139.80,9283.8
26/03/2025,,66984,,,,215/75 R16 HANKOOK TYRE,,,,,£272.40,9556.2
24/03/2025,,66983,,,,195/65 R15 MATADOR HEC5 95H TYRE,,,,,£190.80,9747
24/03/2025,,66982,,,,225/45 R17 MATADOR HEC5 94Y TYRE,,,,,£207.00,9954
27/03/2025,,66996,,,,385/65 R 22.5 TEGRYS TE48 TYRE,,,,,£339.00,10293
06/03/2025,,66995,,,,25 X 12.00-9 DURO AGRI TYRE,,,,,£208.20,10501.2
31/03/2025,,67076,,,,REMOVE & REFIT   (NFF),,,,,£99.00,10600.2
